Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.45793357334638896,0.18219760060310364,0.826530612244898,1.0
2,0.1911555901169777,0.04038935713469982,0.9387755102040817,1.0
3,0.0892299127421881,0.03511145990341902,0.9795918367346939,0.9841269841269841
4,0.05658238665445855,0.03710753284394741,0.9829931972789115,0.9841269841269841
5,0.05072315816620463,0.009138392109889537,0.9829931972789115,1.0
6,0.041283284730621074,0.016245452396105975,0.9829931972789115,0.9841269841269841
7,0.01509658402861341,0.0038085199194028974,0.9965986394557823,1.0
8,0.017890196134287276,0.005629945488180965,0.9965986394557823,1.0
9,0.013780589846551027,0.006365090608596802,1.0,1.0
10,0.04311218151308008,0.017551132492371835,0.9965986394557823,0.9841269841269841
11,0.08074463232371368,0.0027720028010662645,0.9693877551020408,1.0
12,0.06238468247465789,0.00248299276427133,0.9931972789115646,1.0
13,0.045308232129747536,0.03325765859335661,0.9829931972789115,0.9841269841269841
14,0.04288631480334228,0.006976730248425156,0.9931972789115646,1.0
15,0.037789383878637305,0.009996320528443903,0.9863945578231292,1.0
16,0.02519060096605436,0.008671295378007926,0.9931972789115646,1.0
17,0.006864445559729479,0.005042884717113338,1.0,1.0
18,0.0036113193123846463,0.006639228748099413,1.0,1.0
19,0.0029172616333725224,0.0024608727035229094,1.0,1.0
20,0.026299282730753094,0.0016996467602439225,0.9897959183673469,1.0
21,0.010077049906708692,0.001262264690012671,0.9965986394557823,1.0
22,0.024648105884951196,0.002248284301458625,0.9965986394557823,1.0
23,0.0050428708767101755,0.0025084691515075974,1.0,1.0
24,0.00114682468962488,0.0021861260538571514,1.0,1.0
25,0.007522823740912013,0.0011255427707510535,1.0,1.0
26,0.008939283013061964,0.011298726163659012,0.9965986394557823,1.0
27,0.006849260234862174,0.0019075661766692065,1.0,1.0
28,0.0031540234363331508,0.0047072095730982255,1.0,1.0
29,0.0014110645085900998,0.004002837340522092,1.0,1.0
30,0.006216174080787153,0.004564577722135255,0.9965986394557823,1.0
31,0.0016670215884101037,0.01001377122690883,1.0,1.0
32,0.0013750189188469545,0.0023146233928628135,1.0,1.0
33,0.0006394209784431089,0.0017580976868885045,1.0,1.0
34,0.001478908755847155,0.0016566742363011144,1.0,1.0
35,0.006253078933935429,0.0018136953503926634,0.9965986394557823,1.0
36,0.006806663975064447,0.004692458546742273,0.9931972789115646,1.0
37,0.005302595201340553,0.0011334193239918022,1.0,1.0
38,0.0013446153930808098,0.0016839589652590803,1.0,1.0
39,0.004463460844003987,0.01319857533690083,1.0,0.9841269841269841
40,0.0008278057220626291,0.005539150692811745,1.0,1.0
41,0.008976891623828314,0.0013819491032336373,0.9965986394557823,1.0
42,0.008656479600559626,0.03669457598880399,1.0,0.9682539682539683
43,0.038069432030361464,0.0009931090316968039,0.9931972789115646,1.0
44,0.021925420108202257,0.15940454024166684,0.9897959183673469,0.9682539682539683
45,0.1555570563957046,0.017123201495451212,0.9795918367346939,0.9841269841269841
46,0.08309601629030351,0.1386689803621266,0.9829931972789115,0.9682539682539683
47,0.03125752805805716,0.07490704343217658,0.9965986394557823,0.9682539682539683
48,0.03164101700837675,0.05002090228299494,0.9863945578231292,0.9682539682539683
49,0.00727263376986804,0.011485220027680043,1.0,1.0
50,0.00491315509593972,0.006182284809256089,1.0,1.0
