Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.619448716610165,0.4138811368208665,0.6844349680170576,0.7711442786069652
2,0.41316228018978896,0.30668308528570026,0.8166311300639659,0.9054726368159204
3,0.41374276351120515,0.319304693203706,0.8123667377398721,0.9104477611940298
4,0.3134642423967184,0.22093340639884657,0.8710021321961621,0.9154228855721394
5,0.3291662522291733,0.2429210772881141,0.8539445628997868,0.9154228855721394
6,0.30574763793561416,0.23017910008247083,0.8688699360341151,0.9203980099502488
7,0.3298366851473259,0.1936543583869934,0.8688699360341151,0.9303482587064676
8,0.2616272148186878,0.23888829837624842,0.8955223880597015,0.9054726368159204
9,0.2818348057946916,0.2474644066622624,0.8880597014925373,0.900497512437811
10,0.3213250630740392,0.2984276058582159,0.8752665245202559,0.8805970149253731
11,0.3081500946970309,0.1973754150363115,0.8656716417910447,0.9303482587064676
12,0.2878953680017237,0.1817920867067117,0.8859275053304904,0.9253731343283582
13,0.30687438671366646,0.1827740462926718,0.8773987206823027,0.9253731343283582
14,0.29746841715048933,0.16292617011528748,0.8827292110874201,0.9303482587064676
15,0.2546039660603313,0.17098411172628403,0.9157782515991472,0.945273631840796
16,0.22809120071894032,0.21369007516365784,0.9019189765458422,0.9154228855721394
17,0.24577227847303373,0.1569755461353522,0.9008528784648188,0.9402985074626866
18,0.26137652210259843,0.16094496043828818,0.8912579957356077,0.9303482587064676
19,0.24934581376738468,0.14616207090707925,0.896588486140725,0.945273631840796
20,0.28445371139352604,0.16611871352562538,0.8859275053304904,0.9353233830845771
21,0.2588349092688601,0.21905175725427958,0.8869936034115139,0.9104477611940298
22,0.2646418450621225,0.1587751994912441,0.8997867803837953,0.9154228855721394
23,0.28404646164784997,0.1516916545537802,0.8827292110874201,0.9402985074626866
24,0.2340871950579902,0.16288245412019584,0.8997867803837953,0.9502487562189055
25,0.2282361328222994,0.17316021770238876,0.9115138592750534,0.9054726368159204
26,0.23158624679860423,0.16146235454540986,0.9093816631130064,0.9402985074626866
27,0.24809802033133427,0.15547990884918433,0.8955223880597015,0.9402985074626866
28,0.2274061974958848,0.1370634791942743,0.9147121535181236,0.945273631840796
29,0.2294098736118462,0.12954115495085716,0.9136460554371002,0.9502487562189055
30,0.2260206802669218,0.12934820182048357,0.9040511727078892,0.9502487562189055
31,0.2223851824715986,0.13378655423338598,0.9168443496801706,0.9552238805970149
32,0.198080155209212,0.12641850686990297,0.9211087420042644,0.9552238805970149
33,0.1948661945633969,0.13257125478524429,0.920042643923241,0.945273631840796
34,0.2318181540753882,0.1290014277283962,0.894456289978678,0.9601990049751243
35,0.18375564322380697,0.11719047278165817,0.9264392324093816,0.9651741293532339
36,0.2121967493351233,0.11916912604983036,0.920042643923241,0.9552238805970149
37,0.2193391101466397,0.17475108787990534,0.9051172707889126,0.9104477611940298
38,0.2121451059514183,0.11454074457287788,0.9093816631130064,0.9552238805970149
39,0.21878430316761388,0.11814910603257325,0.9104477611940298,0.945273631840796
40,0.19968290772225897,0.1077171449477856,0.9211087420042644,0.9601990049751243
41,0.20717271758338152,0.14694782618719798,0.9147121535181236,0.9353233830845771
42,0.1887758454718327,0.10757954934468636,0.920042643923241,0.9651741293532339
43,0.1883597955486532,0.09571746894373344,0.9221748400852878,0.9651741293532339
44,0.20913060659826813,0.10267952184837598,0.9136460554371002,0.9701492537313433
45,0.16862566554445332,0.11269757352196254,0.9339019189765458,0.9502487562189055
46,0.1757749757271702,0.10970964834380609,0.9232409381663113,0.9552238805970149
47,0.19307662085708927,0.0925514973126925,0.9264392324093816,0.9651741293532339
48,0.18098751809132302,0.10968632165056008,0.9253731343283582,0.9651741293532339
49,0.17631037880556058,0.118023662469708,0.9328358208955224,0.9402985074626866
50,0.23840740847132974,0.09620895251058616,0.8976545842217484,0.9701492537313433
