Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.5013227554468007,1.020086591658385,0.4651232711966326,0.6615168539325843
2,1.1026656576074088,0.9001579543818599,0.607937462417318,0.6783707865168539
3,0.9758211099184476,0.8447774830071823,0.6566446181599519,0.6966292134831461
4,0.9297043297153252,0.8582941682442374,0.6686710763680096,0.6839887640449438
5,0.9325478076934814,0.8242524758629177,0.6647624774503909,0.6643258426966292
6,0.8450291781471326,0.8464084423106649,0.6972339146121467,0.6769662921348315
7,0.852409867139963,0.6928770166376362,0.6912206855081179,0.7303370786516854
8,0.8215346777668366,0.7238853029582811,0.7101623571858088,0.7387640449438202
9,0.8113531175141151,0.7632403866104458,0.7131689717378232,0.7064606741573034
10,0.7704766255158645,0.710547624722771,0.7251954299458809,0.7303370786516854
11,0.8140046811447694,0.6768463707488516,0.7077570655441973,0.7443820224719101
12,0.7906396268652036,0.6752476031365602,0.7230907997594709,0.7570224719101124
13,0.7502330226393846,0.6362248970114667,0.7327119663259171,0.75
14,0.7328408016608312,0.626536611629569,0.7411304870715574,0.7528089887640449
15,0.7252041324973106,0.6032488644123077,0.7387251954299459,0.7724719101123596
16,0.7130348997620436,0.6904621098352515,0.7414311485267588,0.7401685393258427
17,0.7105623500851485,0.6356898649879124,0.7420324714371618,0.7668539325842697
18,0.6991199759336618,0.6383994856606359,0.753758268190018,0.7612359550561798
19,0.6594585678898371,0.6147295560525812,0.7636800962116657,0.7626404494382022
20,0.678171020001173,0.6523888694203418,0.7486470234515935,0.7612359550561798
21,0.6507299674245027,0.5953661605067875,0.7600721587492484,0.7696629213483146
22,0.6603102824435785,0.6033672353495723,0.7549609140108238,0.773876404494382
23,0.6744812953357513,0.5993946155776149,0.7552615754660252,0.7780898876404494
24,0.6468138399605567,0.628969590301099,0.7684906794948888,0.7724719101123596
25,0.6612787407178146,0.6368565313194109,0.7639807576668671,0.773876404494382
26,0.6160301557527139,0.6180099650569584,0.7696933253156946,0.7682584269662921
27,0.6101902789221361,0.5916704807592474,0.7769092002405291,0.7808988764044944
28,0.6385931421357852,0.6075384292913519,0.7796151533373421,0.776685393258427
29,0.635842675772997,0.5936757190072018,0.7681900180396873,0.7865168539325843
30,0.6204594049889308,0.595933287040047,0.7708959711365003,0.776685393258427
31,0.62199463437383,0.555448851507643,0.7778111846061335,0.7893258426966292
32,0.5917958622941604,0.598318742669147,0.7826217678893566,0.7710674157303371
33,0.5881186010172734,0.5462266504764557,0.7853277209861695,0.7963483146067416
34,0.5910647644733007,0.5375580062036929,0.7865303668069753,0.8075842696629213
35,0.6129222770149891,0.5689675237821497,0.7745039085989176,0.800561797752809
36,0.5857164054535903,0.5648855528105861,0.7907396271797955,0.7823033707865169
37,0.6306415918068244,0.5823382333568905,0.7696933253156946,0.7935393258426966
38,0.6446501956536219,0.5388292437014373,0.7678893565844859,0.8033707865168539
39,0.564063161611557,0.6064662479836008,0.7961515333734215,0.7696629213483146
40,0.5957308709621429,0.5813979208469391,0.782922429344558,0.7879213483146067
41,0.577250689554673,0.5625677290170089,0.7892363199037883,0.7963483146067416
42,0.5969183926398938,0.5448877895655839,0.7784125075165363,0.8089887640449438
43,0.5825684460309836,0.5276881598907969,0.7955502104630187,0.8075842696629213
44,0.5693166318994302,0.5762944389944491,0.7985568250150331,0.7935393258426966
45,0.5646701999581777,0.5267185633597167,0.7919422730006013,0.8033707865168539
46,0.5823111476806494,0.532385520313097,0.7949488875526157,0.8061797752808989
47,0.5512995277173244,0.5787765681743622,0.7994588093806374,0.7893258426966292
48,0.5652596987783909,0.5254062459520672,0.7988574864702345,0.8103932584269663
49,0.5400801460043743,0.508097565692404,0.7997594708358389,0.8089887640449438
50,0.5523381696011012,0.5490398225576981,0.7967528562838244,0.800561797752809
